id;value;sensor;timestamp;uploaded
114;1.4;PM25;2017-02-21 23:25:50.740948;1
115;1.4;PM10;2017-02-21 23:26:13.478535;1
116;1.4;PM25;2017-02-21 23:26:13.478637;1
117;2.1;PM10;2017-02-21 23:26:36.114836;1
118;1.4;PM25;2017-02-21 23:26:36.114955;1
119;2.1;PM10;2017-02-21 23:26:58.807937;1
120;1.4;PM25;2017-02-21 23:26:58.808042;1
121;2.1;PM10;2017-02-21 23:27:21.640262;1
122;1.5;PM25;2017-02-21 23:27:21.640372;1
123;2.1;PM10;2017-02-21 23:27:44.247085;1
124;1.5;PM25;2017-02-21 23:27:44.247187;1
125;2.1;PM10;2017-02-21 23:28:07.258353;1
126;1.5;PM25;2017-02-21 23:28:07.258456;1
127;2.1;PM10;2017-02-21 23:28:29.865906;1
128;1.5;PM25;2017-02-21 23:28:29.866028;1
129;1.9;PM10;2017-02-21 23:28:52.538663;1
130;1.4;PM25;2017-02-21 23:28:52.538773;1
131;1.9;PM10;2017-02-21 23:29:15.155117;1
132;1.4;PM25;2017-02-21 23:29:15.155221;1
133;1.5;PM10;2017-02-21 23:29:37.739666;1
134;1.4;PM25;2017-02-21 23:29:37.739774;1
135;1.5;PM10;2017-02-21 23:30:00.342927;1
136;1.4;PM25;2017-02-21 23:30:00.343062;1
137;1.5;PM10;2017-02-21 23:30:23.000311;1
138;1.4;PM25;2017-02-21 23:30:23.000419;1
139;1.5;PM10;2017-02-21 23:30:45.751189;1
140;1.4;PM25;2017-02-21 23:30:45.751294;1
141;1.5;PM10;2017-02-21 23:31:08.349173;1
142;1.4;PM25;2017-02-21 23:31:08.349277;1
143;1.4;PM10;2017-02-21 23:31:31.530845;1
144;1.4;PM25;2017-02-21 23:31:31.530956;1
145;1.4;PM10;2017-02-21 23:31:54.102780;1
146;1.3;PM25;2017-02-21 23:31:54.102885;1
147;1.4;PM10;2017-02-21 23:32:16.658573;1
148;1.3;PM25;2017-02-21 23:32:16.658679;1
149;1.4;PM10;2017-02-21 23:32:39.365135;1
150;1.3;PM25;2017-02-21 23:32:39.365242;1
151;1.9;PM10;2017-02-21 23:33:02.383406;1
152;1.3;PM25;2017-02-21 23:33:02.383509;1
153;2.0;PM10;2017-02-21 23:33:24.920205;1
154;1.3;PM25;2017-02-21 23:33:24.920309;1
155;2.0;PM10;2017-02-21 23:33:47.538660;1
156;1.3;PM25;2017-02-21 23:33:47.538765;1
157;2.0;PM10;2017-02-21 23:34:10.131907;1
158;1.3;PM25;2017-02-21 23:34:10.132008;1
159;2.0;PM10;2017-02-21 23:34:33.394119;1
160;1.3;PM25;2017-02-21 23:34:33.394235;1
161;2.2;PM10;2017-02-21 23:34:56.181950;1
162;1.3;PM25;2017-02-21 23:34:56.182057;1
